Series Name,"Series Code","Country Name","Country Code","1990 [YR1990]","2000 [YR2000]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Kyrgyz Republic","KGZ","NA","0.946245304589254","1.44026980277135","1.26154663496368","1.1718730152903","1.38844086606463","1.80694838778713","1.7207895657039","1.64639533887413","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Lao PDR","LAO","0.0499442053393799","0.176149080630416","0.156321265525372","0.204449551335525","0.262420284476794","0.256490776723786","0.264657252209568","0.242789462006416","0.297200883705774","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Latvia","LVA","NA","2.68262296466812","3.62940575624552","3.37649001783189","3.84959345523717","3.54111333202894","3.47174754795094","3.5182409036458","3.49819288166911","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Lebanon","LBN","3.03885733565765","4.71272369184816","4.19055437702366","4.98966904413797","4.6222820517018","4.45551119700948","4.60351183507295","4.27993734768585","4.29573255231446","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Lesotho","LSO","0.919071684815747","0.990975539666902","1.06346722135275","1.09871489281199","1.11597651810712","1.12985680415238","1.15102147059612","1.14996356313354","1.15011103162712","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Liberia","LBR","0.225555875554064","0.146195799512016","0.154168462784395","0.135653470209323","0.200619787873991","0.218929837522637","0.245544548772791","0.223290252575012","0.21296766351526","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Libya","LBY","8.2900203553979","8.79682718632737","9.25370943510062","9.47205276608453","10.043749858165","6.41036612410331","8.49977348474362","9.08113628697363","9.18684539340708","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Liechtenstein","LIE","NA","NA","1.75400241974058","1.43538556170665","1.52778935088743","1.31455437899846","1.30444657271857","1.39376662865831","1.18522907856816","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Lithuania","LTU","NA","3.47572906808217","4.69291649039735","3.95810005703598","4.34861630293916","4.55330131121176","4.62950967158482","4.27365723711993","4.37809012309851","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Luxembourg","LUX","26.1976587665314","18.8855122622049","22.3854722193799","20.8771251730172","21.6351358015437","21.1029696323119","20.0842194874808","18.4983197143698","17.3621213728095","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Macao SAR, China","MAC","3.00665532731475","3.81283894770538","2.6022362291678","3.94403907765466","2.62236367462554","2.63626171422123","2.33371316425228","2.05052089031521","2.17984275987167","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Macedonia, FYR","MKD","NA","5.92899417589476","4.54788045534005","4.20383424041355","4.15445017455121","4.53512743542096","4.32288301649537","3.78052346658226","3.61493818276338","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Madagascar","MDG","0.0818849083335941","0.118846962409508","0.0944419237216331","0.0861077631854079","0.0925780695964946","0.107595267078671","0.12110340140298","0.135748886401402","0.130421320637677","NA","NA","NA"
