Country,Year,LE_both,LE_male,LE_female,Income Level,GDP per Capita,Surface area (sq. km),"Population, total",Population density (people per sq. km of land area),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","Mortality caused by road traffic injury (per 100,000 people)","Intentional homicides (per 100,000 people)",Individuals using the Internet (% of population),"Incidence of tuberculosis (per 100,000 people)","GNI, Atlas method (current US$)",GDP per capita growth (annual %),GDP growth (annual %),CO2 emissions (metric tons per capita),Access to electricity (% of population),CHE_in_USD
Canada,2016,82.8,80.9,84.7,H,4.626842600349244,6.999333715721757,7.559482939441393,0.6007513907191548,0.8765194597324599,0.7634279935629372,0.22636904786463274,91.16,0.7160033436347992,12.201757871412388,0.20575862386971305,1.4141027455769095,1.1794701746080707,100.0,3.653945370217834
Central African Republic,2016,53.0,51.7,54.4,L,2.5821432578646966,5.794474104397434,6.6622496932200415,0.8677755888226074,1.8216460425903134,1.5024271199844328,1.2957292640662639,4.0,2.60959440922522,9.23637162306732,3.42739458110594,4.53128596327306,-1.1765706968560186,13.985112190246598,1.2201080880400552
Chad,2016,54.3,53.1,55.4,L,2.813739229561782,6.108565023732835,7.159944270185879,1.0598495551708889,1.980792157174794,1.3856062735983121,0.9561828567199895,5.0,2.184691430817599,10.016944539758022,-9.12983012559067,-6.255527085452808,-1.269397874660606,8.83089828491211,1.551449997972875
Chile,2016,79.5,76.5,82.4,H,4.144913236197567,5.878576940505649,7.253089620624226,1.3817899562741753,1.3417730215806665,1.0644579892269184,0.5394252521061047,83.56,1.2041199826559248,11.381073445684223,0.4342830404229829,1.2658676030013505,0.670929849835324,100.0,3.042181594515766
China,2016,76.4,75.0,77.9,UM,3.909409856284634,6.98059011390769,9.1394587503484,2.166875908545628,1.7507408919843575,1.287801729930226,-0.21070088663142514,53.2,1.806179973983887,13.056159232499423,6.1238038247144,6.69999999999993,0.8775963627814363,100.0,2.6290016192869916
Colombia,2016,75.1,71.5,78.8,UM,3.7601857889129633,6.0575706399027105,7.6871133646590515,1.6419860580910244,1.2334882282076751,1.276461804173244,1.4066138534900334,58.13649357287029,1.505149978319906,11.489955502851295,1.15227069298629,2.04305973323898,0.24539844656291565,99.00445556640629,2.573103783163991
Comoros,2016,63.9,62.3,65.5,L,2.889346578011867,3.269746373130767,5.900695320322445,2.630948947191677,1.2820860294448664,1.4563660331290431,0.8866728576205387,7.938322770802999,1.5440680443502757,8.787041612751318,-0.134951039780631,2.20000002289547,-0.692901813986536,77.8442153930664,1.7671558660821804
Congo,2016,64.3,63.0,65.6,LM,3.1841929040041275,5.534026106056135,6.7097634360133425,1.176372727995792,1.7468887478681303,1.4265112613645752,0.9695301284341683,8.121949323466001,2.5774917998372255,9.940485029232784,-5.26846494574266,-2.80001878768313,-0.19697377797174168,56.5661697387695,1.7693773260761385
Costa Rica,2016,79.6,77.0,82.2,UM,4.06939835655346,4.708420900134713,6.686392602820712,1.9783117923524807,1.2678882148340185,1.173186268412274,1.0757287286737927,66.028712851114,0.9777236052888477,10.721168954373749,3.0965868889036,4.15636150701233,0.21244092994758138,100.0,2.968062460076449
Croatia,2016,78.3,75.0,81.5,UM,4.089854629624061,4.752739693935328,6.620588755807056,1.8727110499872661,1.297007399409651,0.9637878273455552,0.018964355216279104,72.69730604589441,1.0791812460476249,10.71023167058525,3.888429795318,3.1654178242422404,0.5992065415595487,100.0,2.9304905653062696
Cuba,2016,79.0,76.8,81.3,UM,3.8809427881459913,5.040918650748524,7.0597898583865435,2.042673008947728,1.220738599867113,0.8808135922807914,0.6978991421780626,42.98,0.8388490907372553,10.874882511803108,4.240918772156689,4.4383335888395,0.4836173362159396,100.0,2.917137752756444
Cyprus,2016,80.7,78.4,83.1,H,4.371833914652612,3.9661417327390325,6.06823225825087,2.1025602870307636,1.2520369634058135,0.8129133566428556,0.045662327393421805,75.90036019051242,0.7481880270062004,10.318109077494897,2.56076941171899,3.39678770236453,0.7210148096181631,100.0,3.1940423278864234
Czechia,2016,79.2,76.2,82.1,H,4.266789298289913,4.896911840826025,7.023924252338311,2.1362506998838637,1.2828189518072404,0.8129133566428556,-0.21278961632837964,76.4812013779572,0.6989700043360189,11.270183543959634,2.39648623734374,2.593326020384,0.9621788283317216,100.0,3.1085650237328344
