Country,Year,LE_both,LE_male,LE_female,Income Level,GDP per Capita,Surface area (sq. km),"Population, total",Population density (people per sq. km of land area),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","Mortality caused by road traffic injury (per 100,000 people)","Intentional homicides (per 100,000 people)",Individuals using the Internet (% of population),"Incidence of tuberculosis (per 100,000 people)","GNI per capita, Atlas method (current US$)",GDP per capita growth (annual %),GDP growth (annual %),CO2 emissions (metric tons per capita),Access to electricity (% of population),CHE_in_USD
Bahrain,2016,79.1,78.6,79.6,H,22560.5812707477,771.0,1425171.0,1848.47081712062,79.6909995433267,7.1,0.523796446714562,97.99998070241459,12.0,21350.0,-0.64539999632413,3.21593363864166,23.4497548258489,100.0,1190.0
Bangladesh,2016,72.7,71.1,74.4,LM,1358.77902884543,147630.0,162951560.0,1251.83652147192,101.01715691177401,12.8,2.50308797930552,18.246938002944894,221.0,1330.0,5.96268914043026,7.11346522765494,0.459141964802809,75.92,31.8
Barbados,2016,75.6,73.1,78.0,H,15891.6265491446,430.0,284996.0,662.781395348837,18.4148125845094,5.5,10.9071589665643,79.5493978888735,1.2,15210.0,1.72119608696235,1.99999999999972,4.49017767348307,100.0,1160.2
Belarus,2016,74.2,68.8,79.2,UM,5022.62664330491,207600.0,9501534.0,46.826346656153,19.798731070760105,12.6,3.5846635861754703,71.1130457603832,52.0,5620.0,-2.64871399678408,-2.52645060629638,6.70195770525782,100.0,351.8
Belgium,2016,81.2,78.8,83.5,H,41260.9775511468,30530.0,11331422.0,374.221334214003,16.0434323655997,7.1,1.9489827196104896,86.5165,10.0,42640.0,0.9001391874256229,1.4122920154533898,8.32815989783976,100.0,4228.3
Belize,2016,70.5,67.9,73.4,UM,4960.18179390332,22970.0,366954.0,16.0874177992109,20.1815989382156,21.3,37.5991678050859,44.57574032,38.0,4480.0,-2.5654625106724303,-0.486536511492986,1.407601494481,92.2143173217773,301.2
Benin,2016,61.1,59.7,62.4,L,788.5324424156952,114760.0,10872298.0,96.4198119900674,95.9603228472066,27.7,6.18276348053584,11.994047908223,59.0,820.0,1.13109189049368,3.96485991037314,0.6142138518119301,41.402614593505895,31.3
Bhutan,2016,70.6,70.4,70.8,LM,2773.54713530224,38394.0,797765.0,20.9293753443345,55.7988897208922,15.0,1.12929130696647,41.7726445321672,178.0,2510.0,6.585735863315611,7.99070541132045,1.28932137116716,100.0,91.1
Bolivia (Plurinational State of),2016,71.5,69.1,74.0,LM,3117.3304591215997,1098580.0,10887882.0,10.050661866519,22.042692250799398,23.3,6.30019121723221,39.6975146032685,114.0,3080.0,2.70131305161378,4.26391940393987,1.93241949870287,93.0391311645508,197.3
Bosnia and Herzegovina,2016,77.3,74.8,79.8,UM,4808.636042871121,51210.0,3516816.0,68.6878125,39.271780888893296,16.6,1.2753632191936202,60.26,32.0,4940.0,3.70557771840463,3.14407738358227,6.23471916168303,100.0,431.2
Botswana,2016,66.1,63.6,68.4,UM,6954.174306293679,581730.0,2250260.0,3.97060328551515,23.137204076581998,21.0,15.0382209040204,39.36299738,326.0,6760.0,2.41194506598904,4.31550626955971,3.24328763661634,60.6883964538574,389.4
Brazil,2016,75.1,71.4,78.9,UM,8639.36574344537,8515770.0,207652865.0,24.844387028693,12.652858927119803,22.6,29.5279564980517,60.872540068126106,42.0,8860.0,-4.25414709607819,-3.46816285562616,2.59438828549778,100.0,780.4
Brunei Darussalam,2016,76.4,75.3,77.6,H,26939.418047044,5770.0,423196.0,80.3028462998102,6.429309072855362,8.0,0.4929556635676189,90.0,66.0,32890.0,-3.76859881236889,-2.46551470989569,22.124701241668802,100.0,812.2
Bulgaria,2016,74.8,71.4,78.4,UM,7469.447702981129,111000.0,7127822.0,65.6579034635225,25.6466876715164,7.6,1.1360420127971598,59.82554766101401,27.0,7580.0,4.672684706732331,3.94109784363204,5.871615869349929,100.0,572.0
Burkina Faso,2016,60.3,59.6,60.9,L,613.993127495919,274220.0,18646433.0,68.1521673976608,110.730801818789,30.7,0.369948600335361,13.96,51.0,610.0,2.8808135353740605,5.924577561372019,0.162018806234081,19.1647129058838,33.4
